date,open,high,low,close,volume
4/5/2015,63.68,64.87,63.64,64.72,14972462
5/5/2015,64.51,65.32,64.29,64.40,17692369
6/5/2015,64.53,65.07,63.42,63.92,18087852
7/5/2015,63.67,64.60,63.25,64.50,15039936
8/5/2015,64.97,65.65,64.60,65.49,16802611
11/5/2015,65.26,65.64,65.08,65.45,13799675
12/5/2015,65.31,65.54,64.76,65.36,12762234
13/5/2015,65.42,65.63,65.06,65.52,11874274
14/5/2015,65.83,66.18,65.71,66.05,11855518
15/5/2015,66.13,66.16,65.44,65.88,11152125
18/5/2015,65.80,66.54,65.80,66.42,10510893
19/5/2015,66.77,67.19,66.57,67.01,14282994
20/5/2015,66.95,67.03,66.40,66.48,12446012
21/5/2015,66.14,66.68,66.01,66.65,12934474
22/5/2015,66.63,66.83,66.32,66.47,9296939
26/5/2015,66.20,66.29,65.31,65.73,15571327
27/5/2015,65.95,66.65,65.82,66.47,10963652
28/5/2015,66.36,66.40,65.74,66.20,11797444
29/5/2015,66.18,66.22,65.36,65.78,14310723
1/6/2015,65.99,66.66,65.97,66.08,11899261
2/6/2015,65.83,66.39,65.58,66.02,12784152
3/6/2015,66.43,67.13,66.27,66.70,12927263
4/6/2015,66.31,67.05,66.01,66.33,13863283
5/6/2015,67.37,67.84,67.01,67.42,20801141
8/6/2015,67.46,67.55,66.81,66.89,14558660
9/6/2015,66.95,67.27,66.47,67.18,13263493
10/6/2015,67.59,68.50,67.47,68.26,17478898
11/6/2015,68.36,68.68,68.15,68.52,13739872
12/6/2015,68.31,68.54,67.87,68.25,11804741
15/6/2015,67.58,68.21,67.30,67.99,14082323
16/6/2015,67.77,68.52,67.62,68.37,11692849
17/6/2015,68.41,68.68,68.04,68.14,14521889
18/6/2015,68.35,68.82,67.90,68.78,16759603
19/6/2015,68.46,68.67,67.92,68.08,21606383
22/6/2015,68.87,69.29,68.75,68.96,14306669
23/6/2015,69.35,69.82,69.19,69.75,15736884
24/6/2015,69.51,69.77,68.91,69.02,16995033
25/6/2015,69.32,69.48,68.64,68.65,13314291
26/6/2015,68.94,69.29,68.76,68.95,14489159
29/6/2015,67.68,68.26,67.16,67.20,19934417
30/6/2015,67.89,68.11,67.16,67.76,20677358
1/7/2015,68.12,68.39,67.78,68.07,13964423
2/7/2015,67.95,68.13,67.18,67.52,12822941
6/7/2015,66.88,67.46,66.54,67.33,13527098
7/7/2015,67.09,67.22,65.30,66.80,22421483
8/7/2015,66.00,66.16,65.20,65.43,17707242
9/7/2015,66.49,66.70,65.99,66.11,14984705
10/7/2015,67.22,67.40,66.82,67.05,12356059
13/7/2015,67.89,68.14,67.68,68.09,16175638
14/7/2015,67.98,69.10,67.76,69.04,20185118
15/7/2015,69.23,69.43,68.85,69.19,16891606
16/7/2015,69.63,69.95,69.41,69.56,18035652
17/7/2015,69.35,69.49,68.92,69.21,14040686
20/7/2015,69.50,69.77,69.18,69.26,11512894
21/7/2015,69.16,69.54,68.87,69.10,11659915
22/7/2015,69.28,70.29,69.20,70.08,15493019
23/7/2015,70.19,70.61,69.46,69.64,14331837
24/7/2015,69.44,69.56,68.68,68.91,12413896
27/7/2015,68.15,68.22,67.57,68.01,16801563
28/7/2015,68.55,68.60,67.77,68.05,14932360
29/7/2015,68.32,69.10,68.16,68.94,13059190
30/7/2015,68.93,69.45,68.54,69.04,10197182
31/7/2015,69.01,69.04,68.40,68.53,11911818
3/8/2015,68.59,68.84,68.00,68.53,9980587
4/8/2015,68.47,68.95,68.31,68.46,10963966
5/8/2015,69.05,69.42,68.56,68.73,11302860
6/8/2015,68.75,68.94,68.00,68.25,10803363
7/8/2015,68.33,68.74,67.55,68.05,11453310
10/8/2015,68.22,69.00,68.22,68.89,12661440
11/8/2015,68.23,68.40,67.85,68.23,14800333
12/8/2015,67.41,67.55,66.07,67.24,21150053
13/8/2015,67.25,67.80,66.97,67.55,11930623
14/8/2015,67.42,67.91,67.40,67.89,11248813
17/8/2015,67.62,68.24,67.40,68.07,10326540
18/8/2015,67.98,68.36,67.84,68.21,10617481
19/8/2015,67.93,68.31,67.36,67.60,15198203
20/8/2015,66.81,67.04,65.94,65.94,20858730
21/8/2015,65.09,65.44,63.57,63.60,28030954
24/8/2015,59.29,62.92,50.07,60.25,36031073
25/8/2015,63.10,63.32,59.73,59.91,31605022
26/8/2015,61.80,62.98,60.54,62.91,33370812
27/8/2015,63.98,64.73,63.14,64.48,28854171
28/8/2015,64.29,64.46,63.60,64.13,16581709
31/8/2015,63.61,64.35,63.47,64.10,14124089
1/9/2015,62.85,62.85,60.99,61.45,23584748
2/9/2015,62.62,62.91,61.54,62.57,17640262
3/9/2015,62.88,63.66,62.45,62.68,16944771
4/9/2015,61.80,61.92,60.75,61.50,20105957
8/9/2015,62.77,63.20,62.33,63.16,13290404
9/9/2015,63.94,64.34,62.00,62.18,13764967
10/9/2015,61.86,63.00,61.45,62.66,15685272
11/9/2015,62.38,62.66,61.99,62.56,12722369
14/9/2015,62.64,62.68,62.12,62.38,10177079
15/9/2015,62.76,63.89,62.51,63.58,13951529
16/9/2015,63.89,64.29,63.21,64.14,12226599
17/9/2015,64.14,64.64,62.39,62.65,20842253
18/9/2015,61.83,61.83,60.78,60.94,30889875
21/9/2015,61.52,61.91,61.08,61.45,13122993
22/9/2015,60.60,61.08,60.42,60.91,14662839
23/9/2015,60.80,61.15,60.32,60.64,11683827
24/9/2015,60.01,60.38,59.46,60.22,17002374
25/9/2015,61.27,61.86,60.87,61.47,18325631
28/9/2015,60.92,61.01,59.69,59.98,16872689
29/9/2015,59.98,60.13,58.73,59.84,19261119
30/9/2015,60.70,61.00,60.11,60.97,18688537
1/10/2015,61.12,61.87,60.54,61.42,16780949
2/10/2015,59.59,60.86,58.53,60.81,20386849
5/10/2015,61.24,62.24,61.22,62.02,13405854
6/10/2015,62.11,62.36,61.62,62.05,12037923
7/10/2015,62.55,63.03,61.76,62.13,12784772
8/10/2015,61.85,62.25,61.43,62.13,13899433
9/10/2015,62.39,62.54,61.58,61.93,12036622
12/10/2015,61.84,62.01,61.40,61.72,10824903
13/10/2015,61.39,62.16,61.31,61.55,15182083
14/10/2015,60.76,60.97,59.54,59.99,28937454
15/10/2015,60.47,61.96,60.10,61.89,18095043
16/10/2015,62.43,62.65,62.09,62.43,17434885
19/10/2015,62.00,62.76,61.91,62.22,14479153
20/10/2015,62.36,62.82,62.08,62.52,11545128
21/10/2015,62.88,62.96,62.05,62.06,12113422
22/10/2015,62.42,63.58,62.42,63.19,15269206
23/10/2015,63.63,64.18,63.50,63.87,16944141
26/10/2015,63.84,63.99,63.41,63.90,13858411
27/10/2015,63.53,63.86,63.31,63.64,8775339
28/10/2015,63.70,65.74,63.69,65.50,17924895
29/10/2015,65.26,65.83,64.88,65.21,12690848
30/10/2015,65.30,65.34,64.13,64.25,15642649
2/11/2015,64.45,65.75,64.39,65.54,15225097
3/11/2015,65.29,66.10,65.17,65.78,11499353
4/11/2015,66.01,66.15,65.63,65.85,11382412
5/11/2015,65.79,66.67,65.75,66.44,12561702
6/11/2015,68.37,69.03,68.10,68.46,23179728
9/11/2015,68.70,68.72,67.08,67.39,17120033
10/11/2015,67.19,67.85,66.93,67.68,13093668
11/11/2015,68.10,68.17,67.25,67.35,8494787
12/11/2015,66.86,66.90,65.95,66.00,13272016
13/11/2015,65.84,66.17,65.23,65.56,11682962
16/11/2015,65.46,66.58,65.17,66.51,11031402
17/11/2015,66.67,66.74,65.89,66.13,12320306
18/11/2015,66.48,67.55,66.37,67.45,12727534
19/11/2015,67.58,67.82,67.04,67.66,12718778
20/11/2015,67.99,68.11,67.38,67.54,11194673
23/11/2015,67.31,67.58,66.78,66.88,11335340
24/11/2015,66.17,67.14,66.04,66.78,10852532
25/11/2015,66.93,67.12,66.55,66.86,7772026
27/11/2015,67.00,67.33,66.64,67.17,4052853
30/11/2015,67.28,67.52,66.68,66.68,15147536
1/12/2015,67.34,67.83,66.99,67.61,12708809
2/12/2015,67.83,67.88,66.48,66.66,13440883
3/12/2015,66.83,67.03,65.58,65.80,14626881
4/12/2015,66.10,68.00,66.03,67.89,17786043
7/12/2015,67.66,67.75,66.40,67.00,11686033
8/12/2015,66.25,66.96,65.70,65.96,13084484
9/12/2015,65.61,66.58,65.04,65.46,16770188
10/12/2015,65.54,66.50,65.08,65.61,12838986
11/12/2015,64.80,65.16,63.51,64.07,17889293
14/12/2015,64.23,64.76,63.60,64.27,17504146
15/12/2015,65.07,66.65,65.07,66.10,18126588
16/12/2015,66.91,67.74,65.91,67.53,21720024
17/12/2015,67.90,68.00,66.08,66.28,18122090
18/12/2015,65.97,65.97,64.40,64.40,23819643
21/12/2015,65.02,65.56,64.83,65.54,18869297
22/12/2015,65.92,66.00,64.98,65.68,12149529
23/12/2015,66.12,66.85,66.05,66.73,12524453
24/12/2015,66.62,66.89,66.32,66.60,4468242
28/12/2015,66.29,66.45,65.71,66.38,6610609
29/12/2015,66.84,67.30,66.74,67.07,9820830
30/12/2015,67.04,67.05,66.45,66.59,7190650
31/12/2015,66.19,66.78,66.00,66.03,14654329
4/1/2016,63.95,64.06,63.01,63.62,25271341
5/1/2016,63.70,64.13,63.04,63.73,16566703
6/1/2016,62.72,63.12,62.34,62.81,22961532
7/1/2016,61.46,62.00,60.08,60.27,27630867
8/1/2016,61.13,61.27,58.85,58.92,22373287
11/1/2016,58.83,59.22,58.04,58.83,20925529
12/1/2016,59.45,59.56,58.10,58.96,22971612
13/1/2016,59.46,59.68,56.91,57.34,28563254
14/1/2016,58.16,59.38,57.29,58.20,31234155
15/1/2016,56.45,57.57,56.22,57.04,37595606
19/1/2016,57.73,57.97,56.51,57.01,22776517
20/1/2016,55.63,56.18,54.66,55.51,34611020
21/1/2016,55.74,56.52,55.06,55.25,31244542
22/1/2016,56.44,57.16,56.30,56.95,22453115
25/1/2016,56.48,56.85,55.60,55.66,20892401
26/1/2016,55.85,57.15,55.81,57.08,17519535
27/1/2016,57.08,58.27,56.56,57.04,20499582
28/1/2016,57.52,57.97,56.63,57.28,15487278
29/1/2016,57.83,59.54,57.51,59.50,26727855
1/2/2016,59.16,59.65,58.44,58.86,16761416
2/2/2016,57.88,57.98,56.75,57.03,22269412
3/2/2016,57.37,57.80,55.02,57.41,31521731
4/2/2016,57.06,58.52,57.06,58.40,21570101
5/2/2016,58.58,59.14,57.42,57.75,21897326
8/2/2016,56.69,56.92,55.54,56.54,28229438
9/2/2016,55.29,56.69,55.13,56.20,26251534
10/2/2016,56.57,57.41,55.47,55.52,22360482
11/2/2016,53.90,53.91,52.50,53.07,43976046
12/2/2016,55.65,57.57,55.17,57.49,36905293
16/2/2016,58.23,58.60,57.64,58.35,23537318
17/2/2016,58.85,59.25,58.39,58.77,21185566
18/2/2016,58.84,58.86,57.25,57.81,16937282
19/2/2016,57.50,58.17,57.08,57.82,15595530
22/2/2016,58.51,58.88,58.42,58.57,14867122
23/2/2016,57.90,58.09,55.96,56.12,31533968
24/2/2016,55.20,56.21,54.32,56.14,25526826
25/2/2016,56.13,57.03,56.04,57.01,14453901
26/2/2016,57.64,58.11,57.14,57.54,20867827
29/2/2016,57.41,57.60,56.29,56.30,19504736
1/3/2016,56.76,59.20,56.67,59.20,23505176
2/3/2016,59.20,59.90,58.96,59.76,20922700
3/3/2016,59.58,59.96,59.10,59.96,15768403
4/3/2016,60.10,60.55,59.53,60.05,18420483
7/3/2016,59.54,60.05,59.32,59.94,12820229
8/3/2016,59.21,59.50,58.68,58.78,14050324
9/3/2016,59.15,59.54,58.68,59.12,13222794
10/3/2016,59.59,59.67,57.81,58.61,21108547
11/3/2016,59.39,59.51,58.65,59.34,21005331
14/3/2016,59.15,59.31,58.60,59.12,13412516
15/3/2016,58.54,59.21,58.43,59.20,10910468
16/3/2016,58.98,59.75,58.47,58.92,17039145
17/3/2016,58.77,59.13,57.99,58.75,19190218
18/3/2016,60.05,60.97,59.66,60.48,29494852
21/3/2016,60.22,60.82,59.96,60.46,12659604
22/3/2016,59.99,60.58,59.62,60.24,12012152
23/3/2016,60.34,60.51,59.86,59.94,11580873
24/3/2016,59.30,59.51,58.87,59.48,12887007
28/3/2016,59.53,59.75,59.18,59.40,11158977
29/3/2016,59.33,59.33,58.53,59.03,15855168
30/3/2016,59.46,60.23,59.38,59.71,13269003
31/3/2016,59.45,59.93,59.11,59.22,14780568
1/4/2016,59.02,60.06,58.56,59.87,15405515
4/4/2016,59.44,59.56,58.96,59.20,12277467
5/4/2016,58.59,58.83,58.21,58.36,12870771
6/4/2016,58.18,58.88,57.95,58.81,12156589
7/4/2016,58.26,58.43,57.06,57.32,19087683
8/4/2016,57.71,58.58,57.69,57.74,13535569
11/4/2016,57.91,58.88,57.91,58.20,17580857
12/4/2016,58.34,59.39,58.20,59.28,17651526
13/4/2016,60.48,62.16,60.38,61.79,37244076
14/4/2016,61.69,62.90,61.60,62.59,24234623
15/4/2016,62.88,62.90,61.45,61.87,19257257
18/4/2016,61.64,62.58,61.53,62.27,13805437
19/4/2016,62.55,63.48,62.55,63.32,18993076
20/4/2016,63.48,64.31,63.14,64.24,14579548
21/4/2016,64.26,64.66,63.34,63.60,15314757
22/4/2016,63.64,64.38,63.64,63.97,11970762
25/4/2016,63.60,63.95,63.14,63.60,10681635
26/4/2016,63.81,64.07,63.33,63.93,12030279
27/4/2016,63.86,64.64,63.60,64.11,14850477
28/4/2016,63.64,64.42,63.35,63.60,12841555
29/4/2016,63.09,63.61,62.70,63.20,16297433
2/5/2016,63.69,64.00,63.14,63.79,10228650
3/5/2016,62.90,62.91,61.80,62.56,18993276
4/5/2016,61.75,62.26,61.27,61.57,16955039
5/5/2016,61.60,62.00,61.06,61.24,14029562
6/5/2016,60.70,61.68,60.59,61.60,11047364
9/5/2016,61.37,61.89,61.05,61.21,11192527
10/5/2016,61.55,62.26,61.35,62.04,11884732
11/5/2016,61.97,62.60,61.81,61.81,11201777
12/5/2016,62.27,62.56,61.37,61.77,10996165
13/5/2016,61.70,62.40,61.02,61.20,14397207
16/5/2016,61.21,61.98,61.00,61.66,10943684
17/5/2016,61.43,62.16,61.15,61.66,12164730
18/5/2016,61.70,64.17,61.69,64.04,24008793
19/5/2016,63.53,64.22,62.90,63.39,15882976
20/5/2016,63.86,64.19,63.37,63.51,11755544
23/5/2016,63.45,63.87,63.16,63.46,9328181
24/5/2016,63.94,64.77,63.81,64.54,13816086
25/5/2016,64.94,66.20,64.92,65.52,18921428
26/5/2016,65.57,65.58,64.91,65.03,9418636
27/5/2016,65.21,65.46,65.05,65.43,10112767
31/5/2016,65.73,65.82,64.96,65.27,15139407
1/6/2016,64.76,65.92,64.26,65.69,14031018
2/6/2016,65.52,65.81,65.16,65.81,10637550
3/6/2016,64.25,64.86,63.55,64.64,20261681
6/6/2016,64.64,65.76,64.60,65.28,13193497
7/6/2016,65.45,65.74,65.04,65.06,9924106
8/6/2016,64.93,65.48,64.92,65.25,9428013
9/6/2016,64.79,64.90,64.27,64.75,10817761
10/6/2016,63.93,64.07,63.58,63.84,16678358
13/6/2016,63.48,64.34,63.26,63.27,14382759
14/6/2016,62.68,63.47,61.68,62.08,19509322
15/6/2016,62.41,62.98,61.91,61.97,16982140
16/6/2016,61.45,62.30,60.90,62.22,16791228
17/6/2016,62.30,62.71,61.93,62.28,15751497
20/6/2016,63.45,63.85,62.34,62.37,12213239
21/6/2016,62.73,63.00,62.14,62.95,11611632
22/6/2016,62.95,63.71,62.68,62.71,12643492
23/6/2016,63.70,64.15,63.53,64.05,16583609
24/6/2016,60.48,61.70,59.34,59.60,44108712
27/6/2016,58.71,58.75,57.05,57.61,37925291
28/6/2016,59.19,59.55,58.26,59.52,29088741
29/6/2016,60.36,61.21,60.00,61.20,21483012
30/6/2016,61.63,62.19,61.02,62.14,21343616
1/7/2016,61.52,62.01,61.16,61.26,14217796
5/7/2016,60.45,60.60,59.10,59.55,23357694
6/7/2016,59.01,60.29,58.76,60.19,20429800
7/7/2016,60.52,61.14,60.16,60.58,13771417
8/7/2016,61.33,62.17,61.33,61.83,16998814
11/7/2016,62.42,62.95,62.14,62.27,13151438
12/7/2016,63.03,63.56,62.89,63.20,16588124
13/7/2016,63.08,63.43,62.64,63.16,18526932
14/7/2016,64.74,64.98,64.05,64.12,28985935
15/7/2016,64.75,64.80,63.61,64.18,17607090
18/7/2016,64.13,64.40,63.90,63.96,10824364
19/7/2016,63.61,64.10,63.46,63.86,9737390
20/7/2016,64.11,64.23,63.71,63.93,10411068
21/7/2016,64.00,64.18,63.63,63.69,9952750
22/7/2016,63.90,64.09,63.60,64.04,8195688
25/7/2016,63.98,64.17,63.68,63.87,8168252
26/7/2016,63.98,64.26,63.71,64.13,8067766
27/7/2016,64.08,64.68,64.06,64.33,11806756
28/7/2016,64.00,64.19,63.72,64.10,10013424
29/7/2016,63.80,64.29,63.75,63.97,13210412
1/8/2016,64.15,64.31,63.61,63.80,11422601
2/8/2016,63.59,64.01,63.38,63.65,13550022
3/8/2016,63.69,64.67,63.65,64.66,13122345
4/8/2016,64.49,64.82,64.27,64.56,9873007
5/8/2016,65.14,66.37,65.07,66.30,20752730
8/8/2016,66.07,66.48,65.84,66.10,11359174
9/8/2016,66.18,66.28,65.69,65.87,10096971
10/8/2016,65.92,66.07,65.16,65.28,11556086
11/8/2016,65.27,65.69,65.02,65.46,9604549
12/8/2016,64.97,65.35,64.86,65.32,7685383
15/8/2016,65.56,65.83,65.46,65.72,8371557
16/8/2016,65.36,65.96,65.24,65.71,10128856
17/8/2016,65.80,65.98,65.54,65.89,11868065
18/8/2016,65.62,65.99,65.53,65.95,9313621
19/8/2016,65.72,65.91,65.22,65.86,9084877
22/8/2016,65.75,65.88,65.41,65.80,9055631
23/8/2016,66.07,66.34,65.76,65.77,8949607
24/8/2016,65.99,66.23,65.77,65.95,10167204
25/8/2016,65.91,66.14,65.79,66.07,9978651
26/8/2016,66.33,66.88,65.84,66.22,14038597
29/8/2016,66.49,67.10,66.46,66.95,14583145
30/8/2016,66.96,67.60,66.95,67.50,13791151
31/8/2016,67.46,67.77,66.86,67.50,14952329
1/9/2016,67.64,67.72,66.65,67.21,12226517
2/9/2016,67.40,67.58,66.98,67.49,13720662
6/9/2016,67.50,67.55,66.71,67.44,16649371
7/9/2016,67.16,67.59,66.96,67.16,10070407
8/9/2016,67.22,67.68,67.00,67.25,12252961
9/9/2016,67.03,67.43,66.64,66.65,19686877
12/9/2016,66.14,67.30,65.76,67.06,16452983
13/9/2016,66.11,66.86,65.82,66.53,18876069
14/9/2016,66.27,67.24,66.21,66.40,12648595
15/9/2016,66.29,66.93,66.09,66.64,12639749
16/9/2016,66.09,66.26,65.44,65.82,25161488
19/9/2016,66.15,66.64,65.85,66.19,13466874
20/9/2016,66.75,66.85,66.24,66.46,10092157
21/9/2016,66.84,67.13,66.31,66.84,14116774
22/9/2016,66.99,67.42,66.84,67.39,12781744
23/9/2016,67.39,67.90,67.18,67.25,13967357
26/9/2016,66.60,66.80,65.54,65.78,16408130
27/9/2016,65.41,66.40,65.11,66.36,13711386
28/9/2016,66.58,66.77,65.99,66.71,11278036
29/9/2016,66.70,67.21,65.35,65.65,18727192
30/9/2016,66.08,67.06,66.08,66.59,21680093
3/10/2016,66.35,66.92,66.26,66.51,14901651
4/10/2016,66.21,67.18,66.10,66.60,17226890
5/10/2016,66.89,68.07,66.80,67.69,16279971
6/10/2016,67.73,67.97,67.05,67.87,17484978
7/10/2016,67.79,68.18,67.40,68.11,18497019
10/10/2016,68.34,69.06,68.23,68.64,13027466
11/10/2016,68.50,68.82,67.93,68.31,15657104
12/10/2016,68.26,68.59,68.05,68.13,11899831
13/10/2016,67.46,67.87,66.82,67.74,17890046
14/10/2016,68.80,69.03,67.30,67.52,24163776
17/10/2016,67.42,67.79,66.74,67.17,14963411
18/10/2016,67.85,68.21,67.54,67.70,11870286
19/10/2016,67.81,68.50,67.81,68.35,12705774
20/10/2016,68.08,68.68,67.94,68.26,14122005
21/10/2016,67.81,68.53,67.70,68.49,12175674
24/10/2016,68.97,69.05,68.50,68.87,10197123
25/10/2016,68.88,68.93,68.38,68.80,9945050
26/10/2016,68.37,69.25,68.37,69.13,9801266
27/10/2016,69.49,69.77,69.10,69.23,14210699
28/10/2016,69.53,69.55,68.46,69.11,12766498
31/10/2016,69.43,69.58,69.23,69.26,14336299
1/11/2016,69.48,69.78,68.33,68.97,15564491
2/11/2016,68.65,68.85,68.01,68.68,12449788
3/11/2016,68.86,69.19,68.22,68.38,10369670
4/11/2016,68.49,68.56,67.64,67.76,13571306
7/11/2016,69.08,69.97,69.00,69.88,16515137
8/11/2016,69.70,70.54,69.24,70.03,17531748
9/11/2016,71.46,74.15,71.32,73.25,50948378
10/11/2016,74.22,77.25,74.22,76.65,56192320
11/11/2016,76.30,76.72,75.77,76.69,27574323
14/11/2016,77.25,80.44,77.25,79.51,46130653
15/11/2016,78.37,79.41,77.78,79.36,28126307
16/11/2016,78.22,78.35,76.88,77.40,26054926
17/11/2016,77.93,78.46,77.60,78.02,19226190
18/11/2016,77.96,78.42,77.55,77.71,19769965
21/11/2016,78.00,78.17,77.29,78.05,11983529
22/11/2016,78.34,78.56,77.76,78.53,14410100
23/11/2016,78.87,79.24,77.89,78.86,13401387
25/11/2016,79.10,79.45,78.47,78.83,6185719
28/11/2016,78.18,78.87,78.02,78.32,13007242
29/11/2016,78.39,79.16,78.39,78.92,14144062
30/11/2016,79.92,80.53,79.70,80.17,25351899
1/12/2016,80.65,82.28,80.65,81.79,23823632
2/12/2016,81.80,81.83,80.90,81.60,16931504
5/12/2016,82.30,83.29,82.29,83.26,18529840
6/12/2016,83.60,83.81,82.43,83.69,16130043
7/12/2016,83.55,84.09,82.85,84.07,18996905
8/12/2016,84.23,85.50,83.94,85.12,20844853
9/12/2016,85.02,85.50,84.14,85.49,14567202
12/12/2016,85.36,85.79,84.29,84.73,14511332
13/12/2016,84.98,85.67,83.82,84.76,16669046
14/12/2016,83.88,86.12,83.76,84.73,22622633
15/12/2016,85.40,86.49,84.90,86.00,19438924
16/12/2016,86.29,86.29,84.89,84.94,23008520
19/12/2016,84.80,85.44,84.19,85.43,21685098
20/12/2016,85.79,86.54,85.54,86.53,14587310
21/12/2016,86.43,86.81,86.03,86.75,11400484
22/12/2016,86.44,87.17,86.21,86.89,13924219
23/12/2016,87.00,87.15,86.40,87.05,10759433
27/12/2016,87.05,87.16,86.75,87.13,6946360
28/12/2016,87.16,87.39,86.35,86.50,9455586
29/12/2016,86.58,86.67,85.04,85.89,14689042
30/12/2016,86.10,86.42,85.66,86.29,13617776
3/1/2017,87.34,87.76,85.98,87.23,20550714
4/1/2017,86.96,87.18,86.40,86.91,15266596
5/1/2017,86.81,87.11,85.26,86.11,14300816
6/1/2017,86.39,86.62,85.94,86.12,12893298
9/1/2017,85.73,86.77,85.52,86.18,12806609
10/1/2017,86.07,86.90,85.72,86.43,13989033
11/1/2017,86.43,87.08,85.91,87.08,14713067
12/1/2017,86.76,87.27,86.02,86.24,21337435
13/1/2017,87.11,88.17,86.10,86.70,28295985
17/1/2017,84.93,85.22,83.28,83.55,30024625
18/1/2017,83.63,84.23,83.03,83.94,21270134
19/1/2017,84.06,84.67,83.12,83.30,16555554
20/1/2017,83.43,83.83,83.28,83.67,18436790
